movie_id,title,description,release_year,duration,language,country,genre,director,actors
49,Movie 48,"A thrilling adventure of hero number 48, fighting the odds.",1989,135,Spanish,Japan,Action,Director 946,Actor 59
50,Movie 49,"A thrilling adventure of hero number 49, fighting the odds.",1969,118,French,USA,Sci-Fi,Director 627,Actor 802
51,Movie 50,"A thrilling adventure of hero number 50, fighting the odds.",1967,95,English,India,Thriller,Director 226,Actor 304
52,Movie 51,"A thrilling adventure of hero number 51, fighting the odds.",1992,121,French,France,Drama,Director 474,Actor 592
53,Movie 52,"A thrilling adventure of hero number 52, fighting the odds.",1958,116,English,Japan,Horror,Director 564,Actor 468
54,Movie 53,"A thrilling adventure of hero number 53, fighting the odds.",2013,158,Japanese,Japan,Thriller,Director 872,Actor 573
55,Movie 54,"A thrilling adventure of hero number 54, fighting the odds.",1963,125,Spanish,UK,Thriller,Director 800,Actor 630
56,Movie 55,"A thrilling adventure of hero number 55, fighting the odds.",1980,122,French,France,Horror,Director 733,Actor 535
57,Movie 56,"A thrilling adventure of hero number 56, fighting the odds.",2022,161,Korean,Germany,Horror,Director 444,Actor 53
58,Movie 57,"A thrilling adventure of hero number 57, fighting the odds.",1982,136,English,UK,Action,Director 862,Actor 956
59,Movie 58,"A thrilling adventure of hero number 58, fighting the odds.",1957,137,French,UK,Horror,Director 481,Actor 294
60,Movie 59,"A thrilling adventure of hero number 59, fighting the odds.",1969,99,Japanese,India,Drama,Director 36,Actor 90
61,Movie 60,"A thrilling adventure of hero number 60, fighting the odds.",1997,103,English,Japan,Action,Director 463,Actor 115
62,Movie 61,"A thrilling adventure of hero number 61, fighting the odds.",1979,135,French,Japan,Documentary,Director 185,Actor 132
63,Movie 62,"A thrilling adventure of hero number 62, fighting the odds.",1950,87,Hindi,France,Action,Director 126,Actor 662
64,Movie 63,"A thrilling adventure of hero number 63, fighting the odds.",2017,179,Japanese,South Korea,Horror,Director 618,Actor 160
65,Movie 64,"A thrilling adventure of hero number 64, fighting the odds.",1982,88,Japanese,South Korea,Horror,Director 545,Actor 237
66,Movie 65,"A thrilling adventure of hero number 65, fighting the odds.",1973,127,Japanese,France,Romance,Director 700,Actor 471
67,Movie 66,"A thrilling adventure of hero number 66, fighting the odds.",1971,81,Korean,Germany,Sci-Fi,Director 930,Actor 830
68,Movie 67,"A thrilling adventure of hero number 67, fighting the odds.",1979,91,Hindi,USA,Romance,Director 865,Actor 14
69,Movie 68,"A thrilling adventure of hero number 68, fighting the odds.",2010,123,Japanese,France,Drama,Director 896,Actor 236
70,Movie 69,"A thrilling adventure of hero number 69, fighting the odds.",1973,174,Korean,India,Romance,Director 606,Actor 168
71,Movie 70,"A thrilling adventure of hero number 70, fighting the odds.",1975,109,Japanese,Germany,Drama,Director 47,Actor 353
72,Movie 71,"A thrilling adventure of hero number 71, fighting the odds.",2000,178,French,India,Documentary,Director 934,Actor 573
73,Movie 72,"A thrilling adventure of hero number 72, fighting the odds.",1995,157,Japanese,France,Documentary,Director 701,Actor 582
74,Movie 73,"A thrilling adventure of hero number 73, fighting the odds.",2010,85,English,USA,Romance,Director 402,Actor 753
75,Movie 74,"A thrilling adventure of hero number 74, fighting the odds.",1961,153,Korean,Germany,Sci-Fi,Director 234,Actor 136
76,Movie 75,"A thrilling adventure of hero number 75, fighting the odds.",1992,119,Hindi,Japan,Action,Director 649,Actor 803
77,Movie 76,"A thrilling adventure of hero number 76, fighting the odds.",1968,89,Japanese,France,Documentary,Director 434,Actor 856
78,Movie 77,"A thrilling adventure of hero number 77, fighting the odds.",1982,124,English,South Korea,Romance,Director 533,Actor 112
79,Movie 78,"A thrilling adventure of hero number 78, fighting the odds.",2001,152,Japanese,South Korea,Drama,Director 687,Actor 281
80,Movie 79,"A thrilling adventure of hero number 79, fighting the odds.",1991,103,Korean,India,Action,Director 193,Actor 208
81,Movie 80,"A thrilling adventure of hero number 80, fighting the odds.",1959,97,Spanish,UK,Drama,Director 13,Actor 407
82,Movie 81,"A thrilling adventure of hero number 81, fighting the odds.",1980,90,Korean,USA,Thriller,Director 646,Actor 479
83,Movie 82,"A thrilling adventure of hero number 82, fighting the odds.",1958,135,Hindi,France,Horror,Director 40,Actor 742
84,Movie 83,"A thrilling adventure of hero number 83, fighting the odds.",2001,146,French,South Korea,Sci-Fi,Director 759,Actor 247
85,Movie 84,"A thrilling adventure of hero number 84, fighting the odds.",1992,110,Spanish,India,Horror,Director 230,Actor 759
86,Movie 85,"A thrilling adventure of hero number 85, fighting the odds.",2004,152,Japanese,UK,Action,Director 32,Actor 263
87,Movie 86,"A thrilling adventure of hero number 86, fighting the odds.",1993,121,Japanese,UK,Drama,Director 166,Actor 693
88,Movie 87,"A thrilling adventure of hero number 87, fighting the odds.",1999,167,French,India,Drama,Director 395,Actor 94
89,Movie 88,"A thrilling adventure of hero number 88, fighting the odds.",1998,150,Hindi,Japan,Sci-Fi,Director 110,Actor 679
90,Movie 89,"A thrilling adventure of hero number 89, fighting the odds.",2006,160,Korean,Germany,Romance,Director 914,Actor 444
91,Movie 90,"A thrilling adventure of hero number 90, fighting the odds.",1964,140,Hindi,Germany,Drama,Director 91,Actor 997
92,Movie 91,"A thrilling adventure of hero number 91, fighting the odds.",1951,141,Spanish,USA,Action,Director 205,Actor 766
93,Movie 92,"A thrilling adventure of hero number 92, fighting the odds.",1970,107,Spanish,France,Sci-Fi,Director 163,Actor 187
94,Movie 93,"A thrilling adventure of hero number 93, fighting the odds.",1957,173,Spanish,France,Documentary,Director 494,Actor 406
95,Movie 94,"A thrilling adventure of hero number 94, fighting the odds.",1984,104,English,USA,Drama,Director 692,Actor 370
96,Movie 95,"A thrilling adventure of hero number 95, fighting the odds.",2020,112,Hindi,Germany,Action,Director 661,Actor 265
97,Movie 96,"A thrilling adventure of hero number 96, fighting the odds.",2015,101,Hindi,UK,Documentary,Director 936,Actor 841
98,Movie 97,"A thrilling adventure of hero number 97, fighting the odds.",1962,102,Spanish,South Korea,Documentary,Director 650,Actor 814
99,Movie 98,"A thrilling adventure of hero number 98, fighting the odds.",2017,100,Korean,France,Comedy,Director 874,Actor 649
100,Movie 99,"A thrilling adventure of hero number 99, fighting the odds.",1998,100,Korean,USA,Comedy,Director 703,Actor 346
101,Movie 100,"A thrilling adventure of hero number 100, fighting the odds.",1971,106,English,India,Drama,Director 49,Actor 317
102,Movie 101,"A thrilling adventure of hero number 101, fighting the odds.",1991,132,Spanish,India,Sci-Fi,Director 300,Actor 947
103,Movie 102,"A thrilling adventure of hero number 102, fighting the odds.",1954,111,French,South Korea,Drama,Director 942,Actor 326
104,Movie 103,"A thrilling adventure of hero number 103, fighting the odds.",1966,132,French,USA,Comedy,Director 253,Actor 411
105,Movie 104,"A thrilling adventure of hero number 104, fighting the odds.",2000,139,Japanese,France,Drama,Director 296,Actor 120
106,Movie 105,"A thrilling adventure of hero number 105, fighting the odds.",2021,143,Hindi,France,Horror,Director 70,Actor 334
107,Movie 106,"A thrilling adventure of hero number 106, fighting the odds.",1970,134,English,South Korea,Documentary,Director 111,Actor 544
108,Movie 107,"A thrilling adventure of hero number 107, fighting the odds.",2019,151,Korean,South Korea,Comedy,Director 568,Actor 634
109,Movie 108,"A thrilling adventure of hero number 108, fighting the odds.",1953,112,Hindi,USA,Sci-Fi,Director 408,Actor 92
110,Movie 109,"A thrilling adventure of hero number 109, fighting the odds.",2021,180,Spanish,USA,Thriller,Director 507,Actor 980
111,Movie 110,"A thrilling adventure of hero number 110, fighting the odds.",2004,155,Korean,UK,Sci-Fi,Director 928,Actor 365
112,Movie 111,"A thrilling adventure of hero number 111, fighting the odds.",1974,104,Hindi,Japan,Horror,Director 87,Actor 226
113,Movie 112,"A thrilling adventure of hero number 112, fighting the odds.",1958,137,English,Germany,Horror,Director 925,Actor 554
114,Movie 113,"A thrilling adventure of hero number 113, fighting the odds.",1967,134,French,France,Thriller,Director 436,Actor 410
115,Movie 114,"A thrilling adventure of hero number 114, fighting the odds.",1988,145,Korean,India,Documentary,Director 867,Actor 562
116,Movie 115,"A thrilling adventure of hero number 115, fighting the odds.",2004,107,Japanese,UK,Sci-Fi,Director 960,Actor 412
117,Movie 116,"A thrilling adventure of hero number 116, fighting the odds.",2013,109,Spanish,South Korea,Romance,Director 106,Actor 1
118,Movie 117,"A thrilling adventure of hero number 117, fighting the odds.",1992,131,French,France,Thriller,Director 287,Actor 878
119,Movie 118,"A thrilling adventure of hero number 118, fighting the odds.",2018,168,Korean,Germany,Drama,Director 872,Actor 136
120,Movie 119,"A thrilling adventure of hero number 119, fighting the odds.",1991,138,French,India,Sci-Fi,Director 4,Actor 427
121,Movie 120,"A thrilling adventure of hero number 120, fighting the odds.",2007,98,French,France,Documentary,Director 546,Actor 303
122,Movie 121,"A thrilling adventure of hero number 121, fighting the odds.",1999,143,French,France,Action,Director 615,Actor 425
123,Movie 122,"A thrilling adventure of hero number 122, fighting the odds.",2008,138,Hindi,India,Documentary,Director 403,Actor 205
124,Movie 123,"A thrilling adventure of hero number 123, fighting the odds.",1973,97,Spanish,USA,Drama,Director 443,Actor 799
125,Movie 124,"A thrilling adventure of hero number 124, fighting the odds.",1987,178,Hindi,Germany,Comedy,Director 644,Actor 574
126,Movie 125,"A thrilling adventure of hero number 125, fighting the odds.",2024,145,Korean,South Korea,Action,Director 427,Actor 589
127,Movie 126,"A thrilling adventure of hero number 126, fighting the odds.",1952,89,Korean,UK,Sci-Fi,Director 847,Actor 213
128,Movie 127,"A thrilling adventure of hero number 127, fighting the odds.",1973,180,Japanese,Germany,Sci-Fi,Director 780,Actor 59
129,Movie 128,"A thrilling adventure of hero number 128, fighting the odds.",2019,99,French,Germany,Action,Director 565,Actor 587
130,Movie 129,"A thrilling adventure of hero number 129, fighting the odds.",2016,108,Korean,Japan,Romance,Director 290,Actor 504
131,Movie 130,"A thrilling adventure of hero number 130, fighting the odds.",1987,142,French,South Korea,Comedy,Director 439,Actor 630
132,Movie 131,"A thrilling adventure of hero number 131, fighting the odds.",1970,136,Korean,USA,Drama,Director 889,Actor 150
133,Movie 132,"A thrilling adventure of hero number 132, fighting the odds.",2023,169,English,USA,Comedy,Director 544,Actor 433
134,Movie 133,"A thrilling adventure of hero number 133, fighting the odds.",1964,114,Korean,South Korea,Comedy,Director 520,Actor 338
135,Movie 134,"A thrilling adventure of hero number 134, fighting the odds.",1961,137,English,Japan,Comedy,Director 333,Actor 592
136,Movie 135,"A thrilling adventure of hero number 135, fighting the odds.",1960,90,French,UK,Horror,Director 616,Actor 307
137,Movie 136,"A thrilling adventure of hero number 136, fighting the odds.",1961,82,French,UK,Action,Director 501,Actor 178
138,Movie 137,"A thrilling adventure of hero number 137, fighting the odds.",1950,163,French,South Korea,Drama,Director 159,Actor 20
139,Movie 138,"A thrilling adventure of hero number 138, fighting the odds.",1970,106,Japanese,UK,Thriller,Director 164,Actor 637
140,Movie 139,"A thrilling adventure of hero number 139, fighting the odds.",1974,90,Hindi,France,Horror,Director 892,Actor 454
141,Movie 140,"A thrilling adventure of hero number 140, fighting the odds.",2013,131,Hindi,UK,Thriller,Director 439,Actor 285
142,Movie 141,"A thrilling adventure of hero number 141, fighting the odds.",2025,107,Spanish,India,Horror,Director 480,Actor 38
143,Movie 142,"A thrilling adventure of hero number 142, fighting the odds.",1984,99,French,USA,Thriller,Director 596,Actor 770
144,Movie 143,"A thrilling adventure of hero number 143, fighting the odds.",2014,97,English,Germany,Thriller,Director 48,Actor 34
145,Movie 144,"A thrilling adventure of hero number 144, fighting the odds.",1973,169,Japanese,India,Romance,Director 81,Actor 63
146,Movie 145,"A thrilling adventure of hero number 145, fighting the odds.",1973,148,Spanish,Germany,Comedy,Director 489,Actor 352
147,Movie 146,"A thrilling adventure of hero number 146, fighting the odds.",2003,135,Hindi,Germany,Thriller,Director 432,Actor 470
148,Movie 147,"A thrilling adventure of hero number 147, fighting the odds.",1969,111,Korean,USA,Thriller,Director 481,Actor 725
149,Movie 148,"A thrilling adventure of hero number 148, fighting the odds.",1962,111,Japanese,France,Drama,Director 174,Actor 678
150,Movie 149,"A thrilling adventure of hero number 149, fighting the odds.",1958,130,English,Japan,Comedy,Director 930,Actor 312
151,Movie 150,"A thrilling adventure of hero number 150, fighting the odds.",2010,149,English,USA,Drama,Director 251,Actor 547
152,Movie 151,"A thrilling adventure of hero number 151, fighting the odds.",1993,156,Hindi,USA,Comedy,Director 619,Actor 910
153,Movie 152,"A thrilling adventure of hero number 152, fighting the odds.",1992,169,Hindi,France,Thriller,Director 588,Actor 204
154,Movie 153,"A thrilling adventure of hero number 153, fighting the odds.",2021,156,French,India,Comedy,Director 660,Actor 765
155,Movie 154,"A thrilling adventure of hero number 154, fighting the odds.",1969,178,Korean,Germany,Romance,Director 632,Actor 644
156,Movie 155,"A thrilling adventure of hero number 155, fighting the odds.",1965,140,French,Japan,Drama,Director 746,Actor 209
157,Movie 156,"A thrilling adventure of hero number 156, fighting the odds.",1975,114,Hindi,India,Drama,Director 216,Actor 961
158,Movie 157,"A thrilling adventure of hero number 157, fighting the odds.",1990,148,Hindi,France,Romance,Director 721,Actor 889
159,Movie 158,"A thrilling adventure of hero number 158, fighting the odds.",1997,123,Japanese,Germany,Documentary,Director 344,Actor 647
160,Movie 159,"A thrilling adventure of hero number 159, fighting the odds.",2003,163,Hindi,Germany,Drama,Director 372,Actor 115
161,Movie 160,"A thrilling adventure of hero number 160, fighting the odds.",2015,81,Hindi,South Korea,Action,Director 734,Actor 835
162,Movie 161,"A thrilling adventure of hero number 161, fighting the odds.",2012,152,Hindi,Japan,Romance,Director 999,Actor 521
163,Movie 162,"A thrilling adventure of hero number 162, fighting the odds.",1966,111,French,Japan,Horror,Director 207,Actor 301
164,Movie 163,"A thrilling adventure of hero number 163, fighting the odds.",2008,167,French,USA,Documentary,Director 639,Actor 406
165,Movie 164,"A thrilling adventure of hero number 164, fighting the odds.",1950,98,Japanese,France,Sci-Fi,Director 734,Actor 86
166,Movie 165,"A thrilling adventure of hero number 165, fighting the odds.",1992,128,French,South Korea,Drama,Director 288,Actor 619
167,Movie 166,"A thrilling adventure of hero number 166, fighting the odds.",1970,98,Hindi,France,Documentary,Director 258,Actor 662
168,Movie 167,"A thrilling adventure of hero number 167, fighting the odds.",2013,131,Hindi,India,Comedy,Director 131,Actor 166
169,Movie 168,"A thrilling adventure of hero number 168, fighting the odds.",2022,126,Hindi,Germany,Comedy,Director 800,Actor 324
170,Movie 169,"A thrilling adventure of hero number 169, fighting the odds.",1973,145,Korean,UK,Thriller,Director 78,Actor 217
171,Movie 170,"A thrilling adventure of hero number 170, fighting the odds.",2005,102,Spanish,USA,Horror,Director 48,Actor 592
172,Movie 171,"A thrilling adventure of hero number 171, fighting the odds.",1980,141,Japanese,Japan,Action,Director 446,Actor 53
173,Movie 172,"A thrilling adventure of hero number 172, fighting the odds.",2013,166,French,Japan,Sci-Fi,Director 791,Actor 102
174,Movie 173,"A thrilling adventure of hero number 173, fighting the odds.",2004,108,Japanese,France,Thriller,Director 427,Actor 478
175,Movie 174,"A thrilling adventure of hero number 174, fighting the odds.",1957,163,Spanish,Japan,Romance,Director 493,Actor 217
176,Movie 175,"A thrilling adventure of hero number 175, fighting the odds.",1950,150,Japanese,Japan,Documentary,Director 302,Actor 786
177,Movie 176,"A thrilling adventure of hero number 176, fighting the odds.",1984,162,Korean,Japan,Documentary,Director 135,Actor 438
178,Movie 177,"A thrilling adventure of hero number 177, fighting the odds.",1978,180,Korean,France,Action,Director 626,Actor 194
179,Movie 178,"A thrilling adventure of hero number 178, fighting the odds.",1990,156,English,France,Horror,Director 801,Actor 756
180,Movie 179,"A thrilling adventure of hero number 179, fighting the odds.",1977,117,Hindi,South Korea,Comedy,Director 722,Actor 734
181,Movie 180,"A thrilling adventure of hero number 180, fighting the odds.",1956,159,Spanish,France,Comedy,Director 342,Actor 961
182,Movie 181,"A thrilling adventure of hero number 181, fighting the odds.",1973,98,Korean,France,Action,Director 824,Actor 245
183,Movie 182,"A thrilling adventure of hero number 182, fighting the odds.",1955,153,French,UK,Romance,Director 118,Actor 754
184,Movie 183,"A thrilling adventure of hero number 183, fighting the odds.",1960,156,Spanish,France,Romance,Director 275,Actor 913
185,Movie 184,"A thrilling adventure of hero number 184, fighting the odds.",1991,176,French,India,Documentary,Director 181,Actor 798
186,Movie 185,"A thrilling adventure of hero number 185, fighting the odds.",1975,149,French,South Korea,Documentary,Director 502,Actor 59
187,Movie 186,"A thrilling adventure of hero number 186, fighting the odds.",1983,164,Korean,South Korea,Romance,Director 482,Actor 708
188,Movie 187,"A thrilling adventure of hero number 187, fighting the odds.",1960,135,Japanese,France,Thriller,Director 282,Actor 306
189,Movie 188,"A thrilling adventure of hero number 188, fighting the odds.",2016,117,Spanish,South Korea,Thriller,Director 484,Actor 407
190,Movie 189,"A thrilling adventure of hero number 189, fighting the odds.",2012,106,French,France,Action,Director 45,Actor 95
191,Movie 190,"A thrilling adventure of hero number 190, fighting the odds.",1970,166,French,France,Drama,Director 994,Actor 197
192,Movie 191,"A thrilling adventure of hero number 191, fighting the odds.",1977,116,French,France,Documentary,Director 661,Actor 708
193,Movie 192,"A thrilling adventure of hero number 192, fighting the odds.",1978,120,Spanish,UK,Drama,Director 607,Actor 448
194,Movie 193,"A thrilling adventure of hero number 193, fighting the odds.",1954,176,English,USA,Action,Director 22,Actor 199
195,Movie 194,"A thrilling adventure of hero number 194, fighting the odds.",2011,146,French,India,Drama,Director 269,Actor 315
196,Movie 195,"A thrilling adventure of hero number 195, fighting the odds.",2005,156,Spanish,Germany,Horror,Director 283,Actor 985
197,Movie 196,"A thrilling adventure of hero number 196, fighting the odds.",2016,135,English,France,Drama,Director 355,Actor 911
198,Movie 197,"A thrilling adventure of hero number 197, fighting the odds.",1972,156,Korean,Germany,Drama,Director 40,Actor 56
199,Movie 198,"A thrilling adventure of hero number 198, fighting the odds.",1954,171,Japanese,Japan,Drama,Director 295,Actor 441
200,Movie 199,"A thrilling adventure of hero number 199, fighting the odds.",2019,145,Japanese,France,Romance,Director 183,Actor 350
201,Movie 200,"A thrilling adventure of hero number 200, fighting the odds.",1955,92,Korean,South Korea,Romance,Director 922,Actor 298
202,Movie 201,"A thrilling adventure of hero number 201, fighting the odds.",1958,156,Spanish,UK,Documentary,Director 935,Actor 227
203,Movie 202,"A thrilling adventure of hero number 202, fighting the odds.",1964,129,Spanish,India,Documentary,Director 938,Actor 491
204,Movie 203,"A thrilling adventure of hero number 203, fighting the odds.",2016,94,Spanish,India,Action,Director 961,Actor 418
205,Movie 204,"A thrilling adventure of hero number 204, fighting the odds.",2016,173,Spanish,USA,Thriller,Director 540,Actor 342
206,Movie 205,"A thrilling adventure of hero number 205, fighting the odds.",1984,85,Hindi,Japan,Horror,Director 280,Actor 526
207,Movie 206,"A thrilling adventure of hero number 206, fighting the odds.",1986,132,Korean,India,Thriller,Director 669,Actor 458
208,Movie 207,"A thrilling adventure of hero number 207, fighting the odds.",1963,130,French,India,Drama,Director 599,Actor 98
209,Movie 208,"A thrilling adventure of hero number 208, fighting the odds.",2002,154,English,Germany,Drama,Director 645,Actor 64
210,Movie 209,"A thrilling adventure of hero number 209, fighting the odds.",2019,90,Japanese,South Korea,Drama,Director 812,Actor 567
211,Movie 210,"A thrilling adventure of hero number 210, fighting the odds.",1967,80,English,Germany,Horror,Director 914,Actor 741
212,Movie 211,"A thrilling adventure of hero number 211, fighting the odds.",1993,106,Hindi,USA,Sci-Fi,Director 421,Actor 628
213,Movie 212,"A thrilling adventure of hero number 212, fighting the odds.",2003,153,French,India,Documentary,Director 267,Actor 731
214,Movie 213,"A thrilling adventure of hero number 213, fighting the odds.",2025,132,Hindi,Japan,Romance,Director 441,Actor 569
215,Movie 214,"A thrilling adventure of hero number 214, fighting the odds.",1982,90,Japanese,Japan,Horror,Director 100,Actor 483
216,Movie 215,"A thrilling adventure of hero number 215, fighting the odds.",2020,104,Japanese,UK,Comedy,Director 986,Actor 124
217,Movie 216,"A thrilling adventure of hero number 216, fighting the odds.",2010,128,Japanese,Germany,Sci-Fi,Director 774,Actor 297
218,Movie 217,"A thrilling adventure of hero number 217, fighting the odds.",1987,89,Japanese,Japan,Horror,Director 840,Actor 103
219,Movie 218,"A thrilling adventure of hero number 218, fighting the odds.",2008,173,Hindi,Japan,Horror,Director 130,Actor 665
220,Movie 219,"A thrilling adventure of hero number 219, fighting the odds.",1975,146,Korean,France,Documentary,Director 531,Actor 446
221,Movie 220,"A thrilling adventure of hero number 220, fighting the odds.",2010,159,Spanish,France,Comedy,Director 881,Actor 9
222,Movie 221,"A thrilling adventure of hero number 221, fighting the odds.",1951,170,English,Japan,Documentary,Director 888,Actor 318
223,Movie 222,"A thrilling adventure of hero number 222, fighting the odds.",2012,166,Hindi,India,Romance,Director 477,Actor 108
224,Movie 223,"A thrilling adventure of hero number 223, fighting the odds.",1998,87,Korean,India,Romance,Director 549,Actor 474
225,Movie 224,"A thrilling adventure of hero number 224, fighting the odds.",1975,93,Spanish,Japan,Romance,Director 435,Actor 167
226,Movie 225,"A thrilling adventure of hero number 225, fighting the odds.",1997,83,English,India,Romance,Director 552,Actor 648
227,Movie 226,"A thrilling adventure of hero number 226, fighting the odds.",1982,116,French,France,Drama,Director 288,Actor 332
228,Movie 227,"A thrilling adventure of hero number 227, fighting the odds.",2003,112,Hindi,Japan,Documentary,Director 537,Actor 227
229,Movie 228,"A thrilling adventure of hero number 228, fighting the odds.",1972,129,Korean,UK,Action,Director 888,Actor 519
230,Movie 229,"A thrilling adventure of hero number 229, fighting the odds.",1979,123,French,India,Thriller,Director 25,Actor 86
231,Movie 230,"A thrilling adventure of hero number 230, fighting the odds.",2024,148,Spanish,Germany,Romance,Director 834,Actor 16
232,Movie 231,"A thrilling adventure of hero number 231, fighting the odds.",1976,86,Japanese,Japan,Drama,Director 96,Actor 797
233,Movie 232,"A thrilling adventure of hero number 232, fighting the odds.",1952,120,English,France,Drama,Director 837,Actor 252
